,0
"('http://www.w3.org/2000/01/rdf-schema#Resource', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt')",0.07711569716818159
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt', 'http://www.w3.org/2000/01/rdf-schema#Resource')",0.07711569716818159
"('http://www.w3.org/2000/01/rdf-schema#Resource', 'http://www.w3.org/2000/01/rdf-schema#Container')",0.42976485017883326
"('http://www.w3.org/2000/01/rdf-schema#Container', 'http://www.w3.org/2000/01/rdf-schema#Resource')",0.42976485017883326
"('http://www.w3.org/2002/07/owl#SymmetricProperty', 'http://www.w3.org/2002/07/owl#SymmetricProperty')",1.0
"('http://www.w3.org/2002/07/owl#SymmetricProperty', 'http://www.w3.org/2002/07/owl#TransitiveProperty')",0.8626249858358855
"('http://www.w3.org/2002/07/owl#TransitiveProperty', 'http://www.w3.org/2002/07/owl#SymmetricProperty')",0.8626249858358855
"('http://www.w3.org/2002/07/owl#SymmetricProperty', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#List')",0.21547410480630252
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#List', 'http://www.w3.org/2002/07/owl#SymmetricProperty')",0.21547410480630252
"('http://www.w3.org/2002/07/owl#SymmetricProperty', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement')",0.3796324564600199
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement', 'http://www.w3.org/2002/07/owl#SymmetricProperty')",0.3796324564600199
"('http://www.w3.org/2002/07/owl#SymmetricProperty', 'http://www.w3.org/2000/01/rdf-schema#Literal')",0.4904278020838242
"('http://www.w3.org/2000/01/rdf-schema#Literal', 'http://www.w3.org/2002/07/owl#SymmetricProperty')",0.4904278020838242
"('http://www.w3.org/2002/07/owl#SymmetricProperty', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt')",-0.001831556027709718
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt', 'http://www.w3.org/2002/07/owl#SymmetricProperty')",-0.001831556027709718
"('http://www.w3.org/2002/07/owl#SymmetricProperty', 'http://www.w3.org/2000/01/rdf-schema#Container')",0.4871617810354274
"('http://www.w3.org/2000/01/rdf-schema#Container', 'http://www.w3.org/2002/07/owl#SymmetricProperty')",0.4871617810354274
"('http://www.w3.org/2002/07/owl#TransitiveProperty', 'http://www.w3.org/2002/07/owl#TransitiveProperty')",1.0
"('http://www.w3.org/2002/07/owl#TransitiveProperty', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#List')",0.23047948011298466
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#List', 'http://www.w3.org/2002/07/owl#TransitiveProperty')",0.23047948011298466
"('http://www.w3.org/2002/07/owl#TransitiveProperty', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement')",0.48610387524880844
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement', 'http://www.w3.org/2002/07/owl#TransitiveProperty')",0.48610387524880844
"('http://www.w3.org/2002/07/owl#TransitiveProperty', 'http://www.w3.org/2000/01/rdf-schema#Literal')",0.48153907212520053
"('http://www.w3.org/2000/01/rdf-schema#Literal', 'http://www.w3.org/2002/07/owl#TransitiveProperty')",0.48153907212520053
"('http://www.w3.org/2002/07/owl#TransitiveProperty', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt')",0.001810238203167739
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt', 'http://www.w3.org/2002/07/owl#TransitiveProperty')",0.001810238203167739
"('http://www.w3.org/2002/07/owl#TransitiveProperty', 'http://www.w3.org/2000/01/rdf-schema#Container')",0.5000138307764099
"('http://www.w3.org/2000/01/rdf-schema#Container', 'http://www.w3.org/2002/07/owl#TransitiveProperty')",0.5000138307764099
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#List', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#List')",1.0
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#List', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement')",0.25047649868562333
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#List')",0.25047649868562333
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#List', 'http://www.w3.org/2000/01/rdf-schema#Literal')",0.44230607662434196
"('http://www.w3.org/2000/01/rdf-schema#Literal', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#List')",0.44230607662434196
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#List', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt')",0.11177696731967057
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#List')",0.11177696731967057
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#List', 'http://www.w3.org/2000/01/rdf-schema#Container')",0.28197841322865486
"('http://www.w3.org/2000/01/rdf-schema#Container', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#List')",0.28197841322865486
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement')",1.0
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement', 'http://www.w3.org/2000/01/rdf-schema#Literal')",0.38946466741166513
"('http://www.w3.org/2000/01/rdf-schema#Literal', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement')",0.38946466741166513
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt')",0.005535410602073234
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement')",0.005535410602073234
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement', 'http://www.w3.org/2000/01/rdf-schema#Container')",0.2703066698741594
"('http://www.w3.org/2000/01/rdf-schema#Container', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement')",0.2703066698741594
"('http://www.w3.org/2000/01/rdf-schema#Literal', 'http://www.w3.org/2000/01/rdf-schema#Literal')",1.0
"('http://www.w3.org/2000/01/rdf-schema#Literal', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt')",0.14520307273616337
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt', 'http://www.w3.org/2000/01/rdf-schema#Literal')",0.14520307273616337
"('http://www.w3.org/2000/01/rdf-schema#Literal', 'http://www.w3.org/2000/01/rdf-schema#Container')",0.42311983581805673
"('http://www.w3.org/2000/01/rdf-schema#Container', 'http://www.w3.org/2000/01/rdf-schema#Literal')",0.42311983581805673
"('http://www.w3.org/2000/01/rdf-schema#Container', 'http://www.w3.org/2000/01/rdf-schema#Container')",1.0
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt')",1.0
"('http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt', 'http://www.w3.org/2000/01/rdf-schema#Container')",0.02308333921482269
"('http://www.w3.org/2000/01/rdf-schema#Container', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt')",0.02308333921482269
