,label,comment,label doc,comment doc,comment not empty
http://data.ign.fr/def/ignf#OperationParameterValue,Operation parameter value,,operation parameter value ,,False
http://data.ign.fr/def/ignf#OperationMethod,Operation method,,operation method ,,False
http://data.lirmm.fr/ontologies/food#NutritionData,"Nutrition data for a food item (recipe, product or ingredient)",,nutrition data food item recipe product ingredient ,,False
http://data.lirmm.fr/ontologies/food#FoodProduct,A manufactured food product,,manufactured food product ,,False
http://data.lirmm.fr/ontologies/food#Recipe,Recipe,,recipe ,,False
http://data.lirmm.fr/ontologies/food#Ingredient,An ingredient : a certain quantity of food that is part of another food,,ingredient certain quantity food part another food ,,False
http://data.lirmm.fr/ontologies/food#Dish,A dish is a food item with a recipe,,dish food item recipe ,,False
http://data.lirmm.fr/ontologies/food#Food,"Anything that can be eaten: a basic Food item (e.g. salt), a Dish made with a recipe, a manufactured Food Product",,anything eaten basic food item e g salt dish made recipe manufactured food product ,,False
http://data.lirmm.fr/ontologies/osp#Gouvernement,Gouvernment,,gouvernment ,,False
http://data.lirmm.fr/ontologies/osp#ChefDuGouvernement,Chef du gouvernement,,chef du gouvernement ,,False
http://data.lirmm.fr/ontologies/osp#PouvoirJudiciaire,Pouvoir judiciaire,,pouvoir judiciaire ,,False
http://data.lirmm.fr/ontologies/osp#Ministre,Ministre,,ministre ,,False
http://data.lirmm.fr/ontologies/osp#Tribunal,tribunal,,tribunal ,,False
http://data.lirmm.fr/ontologies/osp#SecretairedEtat,Secretaire d'Etat,,secretaire etat ,,False
http://data.lirmm.fr/ontologies/osp#OrganisationEtatique,Organisation Etatique,,organisation etatique ,,False
http://data.lirmm.fr/ontologies/osp#OrganisationPublique,Organisation publique,,organisation publique ,,False
http://data.lirmm.fr/ontologies/osp#PouvoirExecutif,pouvoir exécutif,,pouvoir exécutif ,,False
http://data.lirmm.fr/ontologies/osp#Administration,Administration,,administration ,,False
http://data.lirmm.fr/ontologies/osp#Juge,Juge,,juge ,,False
http://data.lirmm.fr/ontologies/osp#ChefDEtat,chef d'Etat,,chef etat ,,False
http://data.lirmm.fr/ontologies/osp#Mairie,Mairie,,mairie ,,False
